loss,accuracy,val_loss,val_accuracy
1.634087324142456,0.3009936213493347,0.7175267934799194,0.6429760456085205
0.5509130954742432,0.739838182926178,0.4404081106185913,0.7999634742736816
0.3929433822631836,0.8244189620018005,0.37092873454093933,0.8392450213432312
0.3270382285118103,0.858443021774292,0.33162909746170044,0.8588054776191711
0.28634461760520935,0.8788734674453735,0.31193670630455017,0.8691734671592712
0.2577753961086273,0.8927704691886902,0.2973717451095581,0.8754453659057617
0.23522643744945526,0.9035730361938477,0.29174432158470154,0.8791106939315796
0.21671046316623688,0.9123393297195435,0.2846682071685791,0.8833600878715515
0.20196573436260223,0.9194237589836121,0.27968844771385193,0.8857841491699219
0.18843914568424225,0.9255228042602539,0.2768494188785553,0.8865143060684204
0.1765630692243576,0.9311291575431824,0.27620285749435425,0.8883688449859619
0.16676217317581177,0.9355074167251587,0.2755099833011627,0.8899678587913513
0.15750743448734283,0.9398128986358643,0.27373260259628296,0.8905519843101501
0.14887258410453796,0.9436669945716858,0.27639248967170715,0.8898802399635315
0.14168697595596313,0.9466862082481384,0.2742835581302643,0.8912017941474915
0.13486270606517792,0.9495912790298462,0.27494651079177856,0.8913113474845886
0.12877368927001953,0.9522779583930969,0.27628353238105774,0.8911287784576416
0.12316736578941345,0.9545350670814514,0.27652618288993835,0.8917129039764404
0.11784926056861877,0.9567266702651978,0.2783898115158081,0.8913843631744385
0.11288352310657501,0.958789587020874,0.27921560406684875,0.8912748098373413
0.10858112573623657,0.9604399800300598,0.280304491519928,0.8912456035614014
0.10411464422941208,0.962170422077179,0.28022781014442444,0.8907490968704224
0.09996206313371658,0.9638280272483826,0.282524436712265,0.8902307152748108
0.0969100147485733,0.9648692607879639,0.28329047560691833,0.890296459197998
0.09303361922502518,0.966403067111969,0.28582683205604553,0.8894640803337097
0.08999024331569672,0.967565655708313,0.2870336174964905,0.8891793489456177
0.08704196661710739,0.9685704112052917,0.2885141968727112,0.8887412548065186
0.08357515931129456,0.9697062373161316,0.28965237736701965,0.8893545269966125
0.08149457722902298,0.9705920815467834,0.29212090373039246,0.8880913853645325
0.07827907800674438,0.9717206358909607,0.29291486740112305,0.8885148763656616
0.07637103646993637,0.9723904728889465,0.2930282652378082,0.8881863355636597
0.07358594983816147,0.9732326865196228,0.29659536480903625,0.8873393535614014
0.07168140262365341,0.9738782644271851,0.29748743772506714,0.887003481388092
