loss,accuracy,iteration,epoch,batch,time
119.0018310546875,0.0,0.0,0,0,15.698123931884766
107.07652282714844,0.0,1.0,0,1,16.092923641204834
92.9269790649414,0.0,2.0,0,2,16.467670679092407
78.8358383178711,0.0,3.0,0,3,16.74374771118164
66.33039093017578,0.0,4.0,0,4,17.033777713775635
56.30625534057617,0.0,5.0,0,5,17.313842296600342
48.76161575317383,0.0,6.0,0,6,17.585284948349
43.0617790222168,0.0,7.0,0,7,17.85183310508728
38.64237976074219,0.0,8.0,0,8,18.123923301696777
35.138641357421875,0.0,9.0,0,9,18.425914525985718
32.246280670166016,0.0,10.0,0,10,18.689542531967163
29.84789276123047,0.0,11.0,0,11,18.95166540145874
27.81487274169922,0.0,12.0,0,12,19.283283472061157
26.065767288208008,0.0,13.0,0,13,19.588263034820557
24.540998458862305,0.0,14.0,0,14,19.86433982849121
23.194255828857422,0.0,15.0,0,15,20.116497039794922
22.00791358947754,0.0,16.0,0,16,20.390596866607666
20.936580657958984,0.0,17.0,0,17,20.65220022201538
19.977449417114258,0.0,18.0,0,18,20.92249631881714
19.133676528930664,0.0,19.0,0,19,21.250906944274902
18.353952407836914,0.0,20.0,0,20,21.52598762512207
17.656801223754883,0.0,21.0,0,21,21.783127546310425
17.022401809692383,0.0,22.0,0,22,22.04026746749878
16.426889419555664,0.0,23.0,0,23,22.328308820724487
15.879678726196289,0.0,24.0,0,24,22.589961051940918
15.366764068603516,0.0,25.0,0,25,22.88475799560547
14.89488410949707,0.0,26.0,0,26,23.149871110916138
14.456315994262695,0.0,27.0,0,27,23.40501880645752
14.049012184143066,0.0,28.0,0,28,23.69006586074829
13.665570259094238,0.0,29.0,0,29,23.96416425704956
13.312944412231445,0.0,30.0,0,30,24.27611255645752
12.984376907348633,0.0,31.0,0,31,24.539677381515503
12.673080444335938,0.0,32.0,0,32,24.809774160385132
12.382125854492188,0.0,33.0,0,33,25.087844133377075
12.107870101928711,0.0,34.0,0,34,25.354949951171875
11.846598625183105,0.0,35.0,0,35,25.64270520210266
11.602294921875,0.0,36.0,0,36,25.892391443252563
11.365387916564941,0.0,37.0,0,37,26.16698455810547
11.141164779663086,0.0,38.0,0,38,26.437081575393677
10.934021949768066,0.0,39.0,0,39,26.700201749801636
10.728422164916992,0.0,40.0,0,40,26.956345796585083
10.528966903686523,0.0,41.0,0,41,27.23641276359558
